shipment_id,warehouse_id,destination_id,carrier_id,order_date,planned_ship_date,actual_ship_date,planned_delivery_date,actual_delivery_date,distance_km,weight_kg,freight_cost,status,on_time_flag
SHP-000019,WH-06,DST-11,CAR-03,2023-01-02,2023-01-03,2023-01-03,2023-01-04,2023-01-04,1746.6,2738.6,3592.87,Delivered,True
SHP-000020,WH-11,DST-19,CAR-05,2023-01-02,2023-01-04,2023-01-04,2023-01-05,2023-01-05,376.2,83.2,756.48,Delivered,True
SHP-000021,WH-09,DST-15,CAR-04,2023-01-02,2023-01-04,2023-01-04,2023-01-05,2023-01-05,4443.8,783.4,27968.43,Delivered,True
SHP-000022,WH-11,DST-19,CAR-02,2023-01-02,2023-01-04,2023-01-04,2023-01-05,2023-01-05,376.2,123.3,189.75,Delivered,True
SHP-000023,WH-06,DST-08,CAR-03,2023-01-02,2023-01-02,2023-01-02,2023-01-04,2023-01-06,974.8,738.5,640.4,Delivered,False
SHP-000024,WH-10,DST-15,CAR-06,2023-01-02,2023-01-04,2023-01-05,2023-01-12,2023-01-13,5496.2,1737.1,1916.4,Delivered,False
SHP-000025,WH-06,DST-11,CAR-04,2023-01-02,2023-01-02,2023-01-02,2023-01-03,,1746.6,415.6,6881.48,In Transit,
SHP-000026,WH-04,DST-09,CAR-05,2023-01-02,2023-01-02,2023-01-02,2023-01-03,2023-01-11,1424.2,167.5,3715.97,Delivered,False
SHP-000027,WH-05,DST-05,CAR-07,2023-01-02,2023-01-02,2023-01-02,2023-01-16,2023-01-16,9471.5,409.7,1154.95,Delivered,True
SHP-000028,WH-08,DST-19,CAR-05,2023-01-03,2023-01-04,2023-01-04,2023-01-05,2023-01-05,6197.6,500.4,30819.66,Delivered,True
SHP-000029,WH-09,DST-16,CAR-07,2023-01-03,2023-01-04,2023-01-04,2023-01-16,2023-01-16,8055.2,361.0,903.79,Delivered,True
SHP-000030,WH-08,DST-12,CAR-03,2023-01-03,2023-01-04,2023-01-04,2023-01-08,2023-01-08,5311.2,338.0,2000.21,Delivered,True
SHP-000031,WH-03,DST-02,CAR-02,2023-01-03,2023-01-03,2023-01-03,2023-01-04,2023-01-04,701.2,1747.5,2130.25,Delivered,True
SHP-000032,WH-09,DST-20,CAR-07,2023-01-03,2023-01-03,2023-01-03,2023-01-15,2023-01-16,8354.8,131.7,554.26,Delivered,False
SHP-000033,WH-02,DST-05,CAR-04,2023-01-03,2023-01-03,2023-01-03,2023-01-04,2023-01-04,1501.9,136.4,3233.49,Delivered,True
SHP-000034,WH-01,DST-04,CAR-04,2023-01-03,2023-01-04,2023-01-04,2023-01-05,2023-01-05,1598.9,544.8,7621.48,Delivered,True
SHP-000035,WH-04,DST-07,CAR-03,2023-01-04,2023-01-05,2023-01-05,2023-01-06,2023-01-06,372.9,408.3,158.78,Delivered,True
SHP-000036,WH-04,DST-09,CAR-04,2023-01-04,2023-01-04,2023-01-04,2023-01-05,2023-01-05,1424.2,132.0,3026.04,Delivered,True
SHP-000037,WH-01,DST-15,CAR-07,2023-01-04,2023-01-05,2023-01-05,2023-01-29,2023-02-05,16741.2,1648.9,6190.57,Delivered,False
SHP-000038,WH-04,DST-10,CAR-02,2023-01-04,2023-01-04,2023-01-04,2023-01-06,2023-01-06,796.9,428.3,781.04,Delivered,True
SHP-000039,WH-05,DST-04,CAR-03,2023-01-04,2023-01-06,2023-01-06,2023-01-10,2023-01-10,5743.4,156.0,1431.25,Delivered,True
SHP-000040,WH-03,DST-02,CAR-03,2023-01-04,2023-01-05,2023-01-05,2023-01-06,2023-01-06,701.2,1438.4,804.17,Delivered,True
SHP-000041,WH-08,DST-16,CAR-05,2023-01-04,2023-01-05,2023-01-05,2023-01-06,2023-01-06,6063.3,372.5,24645.79,Delivered,True
SHP-000042,WH-09,DST-13,CAR-01,2023-01-04,2023-01-04,2023-01-04,2023-01-06,2023-01-06,866.5,1110.2,1929.88,Delivered,True
SHP-000043,WH-08,DST-12,CAR-07,2023-01-04,2023-01-05,2023-01-05,2023-01-13,2023-01-13,5311.2,1175.5,1461.12,Delivered,True
SHP-000044,WH-01,DST-01,CAR-02,2023-01-04,2023-01-05,2023-01-05,2023-01-06,2023-01-06,1200.3,91.8,546.39,Delivered,True
SHP-000045,WH-10,DST-16,CAR-04,2023-01-04,2023-01-06,2023-01-06,2023-01-07,2023-01-07,713.4,1412.5,7362.57,Delivered,True
SHP-000046,WH-08,DST-14,CAR-06,2023-01-04,2023-01-05,2023-01-05,2023-01-10,2023-01-10,3903.8,1314.5,1064.21,Delivered,True
SHP-000047,WH-01,DST-11,CAR-05,2023-01-05,2023-01-06,2023-01-07,2023-01-07,2023-01-07,7480.3,557.6,40236.38,Delivered,True
SHP-000048,WH-02,DST-03,CAR-01,2023-01-05,2023-01-06,2023-01-06,2023-01-08,2023-01-08,1992.0,79.3,945.82,Delivered,True
SHP-000049,WH-01,DST-05,CAR-04,2023-01-05,2023-01-07,2023-01-07,2023-01-08,2023-01-08,2159.1,214.3,5724.93,Delivered,True
SHP-000050,WH-09,DST-15,CAR-06,2023-01-05,2023-01-05,2023-01-05,2023-01-11,2023-01-11,4443.8,735.1,747.98,Delivered,True
SHP-000051,WH-11,DST-17,CAR-02,2023-01-05,2023-01-07,2023-01-07,2023-01-09,2023-01-09,868.1,449.5,879.56,Delivered,True
SHP-000052,WH-11,DST-18,CAR-03,2023-01-05,2023-01-05,2023-01-05,2023-01-06,2023-01-06,122.9,2866.0,263.75,Delivered,True
SHP-000053,WH-01,DST-02,CAR-01,2023-01-05,2023-01-07,2023-01-07,2023-01-09,2023-01-09,947.5,559.6,1223.53,Delivered,True
SHP-000054,WH-08,DST-15,CAR-03,2023-01-05,2023-01-07,2023-01-07,2023-01-09,2023-01-09,905.4,598.2,505.86,Delivered,True
SHP-000055,WH-09,DST-12,CAR-01,2023-01-05,2023-01-05,2023-01-05,2023-01-06,2023-01-06,1754.3,178.9,1129.97,Delivered,True
SHP-000056,WH-04,DST-08,CAR-02,2023-01-06,2023-01-07,2023-01-07,2023-01-08,2023-01-08,611.3,859.5,1010.38,Delivered,True
SHP-000057,WH-06,DST-06,CAR-04,2023-01-06,2023-01-06,2023-01-06,2023-01-07,2023-01-07,735.0,944.7,5385.02,Delivered,True
SHP-000058,WH-02,DST-14,CAR-07,2023-01-06,2023-01-07,2023-01-07,2023-01-28,2023-01-28,14145.7,800.4,2830.28,Delivered,True
SHP-000059,WH-02,DST-02,CAR-05,2023-01-06,2023-01-06,2023-01-07,2023-01-07,2023-01-07,1295.0,347.5,5033.81,Delivered,True
SHP-000060,WH-09,DST-16,CAR-05,2023-01-06,2023-01-08,2023-01-09,2023-01-09,2023-01-09,8055.2,54.1,14532.42,Delivered,True
SHP-000061,WH-08,DST-04,CAR-06,2023-01-06,2023-01-07,2023-01-07,2023-01-27,2023-01-27,14798.8,115.0,839.09,Delivered,True
SHP-000062,WH-01,DST-04,CAR-02,2023-01-06,2023-01-07,2023-01-07,2023-01-08,2023-01-16,1598.9,125.5,811.89,Delivered,False
SHP-000063,WH-02,DST-05,CAR-01,2023-01-06,2023-01-06,2023-01-07,2023-01-08,2023-01-08,1501.9,2323.9,6444.01,Delivered,True
SHP-000064,WH-05,DST-19,CAR-07,2023-01-06,2023-01-08,2023-01-08,2023-01-14,2023-01-14,4646.1,478.2,630.19,Delivered,True
SHP-000065,WH-06,DST-01,CAR-06,2023-01-07,2023-01-08,2023-01-08,2023-01-17,2023-01-17,6146.1,121.4,355.56,Delivered,True
SHP-000066,WH-02,DST-02,CAR-04,2023-01-07,2023-01-09,2023-01-10,2023-01-10,2023-01-10,1295.0,1950.8,17825.21,Delivered,True
SHP-000067,WH-08,DST-14,CAR-06,2023-01-07,2023-01-07,2023-01-07,2023-01-13,2023-01-15,3903.8,268.2,328.99,Delivered,False
SHP-000068,WH-05,DST-01,CAR-06,2023-01-07,2023-01-09,2023-01-09,2023-01-17,2023-01-17,6129.9,814.1,1118.94,Delivered,True
SHP-000069,WH-01,DST-03,CAR-01,2023-01-07,2023-01-07,2023-01-07,2023-01-09,2023-01-09,3110.3,724.2,4886.77,Delivered,True
SHP-000070,WH-01,DST-05,CAR-03,2023-01-07,2023-01-08,2023-01-08,2023-01-10,2023-01-10,2159.1,193.5,594.73,Delivered,True
SHP-000071,WH-11,DST-18,CAR-05,2023-01-07,2023-01-08,2023-01-08,2023-01-09,2023-01-09,122.9,368.9,496.37,Delivered,True
SHP-000072,WH-02,DST-03,CAR-04,2023-01-07,2023-01-07,2023-01-08,2023-01-08,2023-01-08,1992.0,191.6,4992.4,Delivered,True
SHP-000073,WH-08,DST-14,CAR-07,2023-01-07,2023-01-08,2023-01-08,2023-01-14,2023-01-14,3903.8,169.0,288.1,Delivered,True
SHP-000074,WH-01,DST-01,CAR-03,2023-01-08,2023-01-08,2023-01-08,2023-01-10,2023-01-10,1200.3,23.4,187.71,Delivered,True
SHP-000075,WH-07,DST-09,CAR-04,2023-01-08,2023-01-09,2023-01-09,2023-01-10,2023-01-10,2289.8,1961.0,31669.47,Delivered,True
SHP-000076,WH-09,DST-02,CAR-04,2023-01-08,2023-01-09,2023-01-09,2023-01-11,2023-01-11,11356.6,977.3,85569.05,Delivered,True
SHP-000077,WH-07,DST-07,CAR-01,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-11,1366.5,186.9,898.82,Delivered,True
SHP-000078,WH-01,DST-01,CAR-02,2023-01-08,2023-01-10,2023-01-10,2023-01-11,2023-01-11,1200.3,724.5,1731.12,Delivered,True
SHP-000079,WH-08,DST-12,CAR-03,2023-01-08,2023-01-09,2023-01-09,2023-01-14,2023-01-14,5311.2,1316.3,5637.39,Delivered,True
SHP-000080,WH-01,DST-09,CAR-07,2023-01-08,2023-01-10,2023-01-11,2023-01-20,2023-01-20,6943.1,301.1,695.84,Delivered,True
SHP-000081,WH-01,DST-03,CAR-04,2023-01-08,2023-01-10,2023-01-10,2023-01-11,2023-01-11,3110.3,657.3,17065.53,Delivered,True
SHP-000082,WH-11,DST-07,CAR-07,2023-01-09,2023-01-10,2023-01-10,2023-01-17,2023-01-17,5246.7,301.5,526.25,Delivered,True
SHP-000083,WH-04,DST-07,CAR-02,2023-01-09,2023-01-09,2023-01-09,2023-01-10,2023-01-10,372.9,867.0,620.67,Delivered,True
SHP-000084,WH-05,DST-08,CAR-04,2023-01-09,2023-01-11,2023-01-12,2023-01-12,2023-01-12,255.3,398.3,977.38,Delivered,True
SHP-000085,WH-07,DST-10,CAR-04,2023-01-09,2023-01-09,2023-01-09,2023-01-10,2023-01-10,1143.9,662.9,6317.27,Delivered,True
SHP-000086,WH-09,DST-12,CAR-04,2023-01-09,2023-01-10,2023-01-11,2023-01-11,2023-01-11,1754.3,374.1,6445.59,Delivered,True
SHP-000087,WH-05,DST-07,CAR-01,2023-01-09,2023-01-10,2023-01-10,2023-01-11,2023-01-11,744.8,317.7,655.51,Delivered,True
SHP-000088,WH-10,DST-12,CAR-06,2023-01-09,2023-01-09,2023-01-09,2023-01-19,2023-01-29,7825.8,500.5,986.76,Delivered,False
SHP-000089,WH-08,DST-13,CAR-05,2023-01-09,2023-01-09,2023-01-10,2023-01-10,2023-01-10,4671.9,85.8,9480.22,Delivered,True
SHP-000090,WH-01,DST-16,CAR-06,2023-01-09,2023-01-11,2023-01-11,2023-01-31,2023-02-09,15591.8,1482.4,4721.7,Delivered,False
SHP-000091,WH-10,DST-12,CAR-07,2023-01-10,2023-01-12,2023-01-13,2023-01-23,2023-01-23,7825.8,439.6,1001.08,Delivered,True
SHP-000092,WH-08,DST-14,CAR-02,2023-01-10,2023-01-11,2023-01-11,2023-01-15,2023-01-15,3903.8,2305.7,15259.44,Delivered,True
SHP-000093,WH-05,DST-10,CAR-02,2023-01-10,2023-01-11,2023-01-11,2023-01-12,2023-01-12,901.1,327.5,741.5,Delivered,True
SHP-000094,WH-11,DST-05,CAR-04,2023-01-10,2023-01-11,2023-01-11,2023-01-13,2023-01-13,14332.0,144.3,31580.75,Delivered,True
SHP-000095,WH-09,DST-16,CAR-05,2023-01-10,2023-01-11,2023-01-12,2023-01-12,2023-01-12,8055.2,380.2,33182.64,Delivered,True
SHP-000096,WH-12,DST-17,CAR-04,2023-01-10,2023-01-12,2023-01-12,2023-01-13,2023-01-13,845.1,157.6,1934.13,Delivered,True
SHP-000097,WH-09,DST-14,CAR-03,2023-01-10,2023-01-12,2023-01-12,2023-01-17,2023-01-17,5032.4,101.1,1060.68,Delivered,True
SHP-000098,WH-12,DST-17,CAR-04,2023-01-10,2023-01-12,2023-01-13,2023-01-13,2023-01-13,845.1,64.7,1431.67,Delivered,True
SHP-000099,WH-01,DST-16,CAR-04,2023-01-11,2023-01-11,2023-01-11,2023-01-12,2023-01-12,15591.8,433.1,63175.49,Delivered,True
SHP-000100,WH-01,DST-20,CAR-06,2023-01-11,2023-01-11,2023-01-11,2023-01-24,2023-01-24,10218.6,1150.3,2483.66,Delivered,True
SHP-000101,WH-08,DST-06,CAR-07,2023-01-11,2023-01-11,2023-01-12,2023-01-27,2023-01-27,10847.8,468.5,1450.36,Delivered,True
SHP-000102,WH-05,DST-03,CAR-04,2023-01-11,2023-01-11,2023-01-11,2023-01-12,2023-01-12,9075.6,17.8,12650.63,Delivered,True
SHP-000103,WH-07,DST-07,CAR-04,2023-01-11,2023-01-13,2023-01-13,2023-01-14,2023-01-14,1366.5,287.4,4262.76,Delivered,True
SHP-000104,WH-05,DST-10,CAR-04,2023-01-11,2023-01-11,2023-01-11,2023-01-12,2023-01-12,901.1,1260.7,8423.7,Delivered,True
SHP-000105,WH-01,DST-04,CAR-05,2023-01-11,2023-01-11,2023-01-12,2023-01-12,2023-01-12,1598.9,55.3,2898.2,Delivered,True
SHP-000106,WH-10,DST-15,CAR-07,2023-01-12,2023-01-14,2023-01-14,2023-01-22,2023-01-28,5496.2,1054.9,1379.44,Delivered,False
SHP-000107,WH-08,DST-12,CAR-07,2023-01-12,2023-01-13,2023-01-13,2023-01-20,2023-01-20,5311.2,202.5,427.55,Delivered,True
SHP-000108,WH-11,DST-18,CAR-05,2023-01-12,2023-01-12,2023-01-12,2023-01-13,2023-01-13,122.9,542.7,648.02,Delivered,True
SHP-000109,WH-08,DST-15,CAR-02,2023-01-12,2023-01-14,2023-01-14,2023-01-15,2023-01-15,905.4,417.0,871.42,Delivered,True
SHP-000110,WH-03,DST-01,CAR-03,2023-01-12,2023-01-12,2023-01-13,2023-01-13,2023-01-13,550.4,406.8,233.81,Delivered,True
SHP-000111,WH-08,DST-13,CAR-06,2023-01-12,2023-01-13,2023-01-13,2023-01-20,2023-01-20,4671.9,60.6,219.15,Delivered,True
SHP-000112,WH-04,DST-03,CAR-05,2023-01-12,2023-01-13,2023-01-13,2023-01-14,2023-01-14,8954.1,322.3,33204.9,Delivered,True
SHP-000113,WH-12,DST-18,CAR-01,2023-01-12,2023-01-12,2023-01-12,2023-01-14,2023-01-14,1588.3,3004.1,8651.41,Delivered,True
SHP-000114,WH-04,DST-06,CAR-02,2023-01-12,2023-01-13,2023-01-14,2023-01-14,2023-01-14,320.6,614.3,407.26,Delivered,True
SHP-000115,WH-08,DST-11,CAR-06,2023-01-12,2023-01-13,2023-01-14,2023-01-27,2023-01-27,9637.3,500.6,1215.34,Delivered,True
SHP-000116,WH-03,DST-04,CAR-04,2023-01-12,2023-01-13,2023-01-13,2023-01-14,2023-01-14,504.3,399.7,1935.4,Delivered,True
SHP-000117,WH-03,DST-05,CAR-07,2023-01-13,2023-01-13,2023-01-13,2023-01-19,2023-01-23,3261.0,1340.2,1004.53,Delivered,False
SHP-000118,WH-05,DST-17,CAR-01,2023-01-13,2023-01-14,2023-01-14,2023-01-18,2023-01-18,4417.3,1545.5,13107.61,Delivered,True
SHP-000119,WH-06,DST-10,CAR-03,2023-01-13,2023-01-15,2023-01-15,2023-01-16,2023-01-16,340.3,22.7,53.04,Delivered,True
SHP-000120,WH-08,DST-13,CAR-05,2023-01-13,2023-01-13,2023-01-14,2023-01-14,2023-01-14,4671.9,793.4,32951.88,Delivered,True
SHP-000121,WH-01,DST-03,CAR-06,2023-01-13,2023-01-14,2023-01-14,2023-01-19,2023-01-21,3110.3,82.8,158.33,Delivered,False
SHP-000122,WH-03,DST-02,CAR-02,2023-01-13,2023-01-13,2023-01-13,2023-01-14,2023-01-14,701.2,318.0,566.61,Delivered,True
SHP-000123,WH-06,DST-10,CAR-03,2023-01-13,2023-01-13,2023-01-13,2023-01-14,2023-01-14,340.3,102.3,72.0,Delivered,True
SHP-000124,WH-08,DST-13,CAR-05,2023-01-13,2023-01-14,2023-01-15,2023-01-15,2023-01-15,4671.9,246.8,14820.72,Delivered,True
SHP-000125,WH-04,DST-10,CAR-02,2023-01-13,2023-01-15,2023-01-16,2023-01-17,2023-01-17,796.9,104.1,378.03,Delivered,True
SHP-000126,WH-04,DST-09,CAR-01,2023-01-13,2023-01-13,2023-01-14,2023-01-14,2023-01-14,1424.2,445.6,1563.04,Delivered,True
SHP-000127,WH-05,DST-11,CAR-03,2023-01-13,2023-01-13,2023-01-14,2023-01-15,2023-01-15,810.7,982.5,671.08,Delivered,True
SHP-000128,WH-09,DST-14,CAR-03,2023-01-13,2023-01-15,2023-01-16,2023-01-20,2023-01-21,5032.4,871.7,3775.26,Delivered,False
SHP-000129,WH-06,DST-09,CAR-05,2023-01-13,2023-01-14,2023-01-14,2023-01-15,2023-01-15,912.5,294.3,3202.52,Delivered,True
SHP-000130,WH-06,DST-20,CAR-04,2023-01-14,2023-01-16,2023-01-17,2023-01-17,2023-01-17,2879.0,4535.0,87245.88,Delivered,True
SHP-000131,WH-09,DST-13,CAR-05,2023-01-14,2023-01-14,2023-01-14,2023-01-15,2023-01-15,866.5,127.1,2012.25,Delivered,True
SHP-000132,WH-03,DST-05,CAR-07,2023-01-14,2023-01-14,2023-01-14,2023-01-20,2023-01-20,3261.0,421.6,405.41,Delivered,True
SHP-000133,WH-08,DST-01,CAR-05,2023-01-14,2023-01-14,2023-01-14,2023-01-15,2023-01-15,15332.5,823.2,111386.31,Delivered,True
SHP-000134,WH-09,DST-14,CAR-06,2023-01-14,2023-01-14,2023-01-15,2023-01-22,2023-01-25,5032.4,759.5,869.15,Delivered,False
SHP-000135,WH-04,DST-11,CAR-03,2023-01-14,2023-01-14,2023-01-15,2023-01-15,2023-01-15,1181.6,2170.0,1960.23,Delivered,True
SHP-000136,WH-03,DST-04,CAR-04,2023-01-14,2023-01-14,2023-01-14,2023-01-15,2023-01-15,504.3,452.1,2104.51,Delivered,True
SHP-000137,WH-02,DST-01,CAR-04,2023-01-14,2023-01-15,2023-01-15,2023-01-16,2023-01-16,2205.7,1265.0,20680.9,Delivered,True
SHP-000138,WH-05,DST-09,CAR-05,2023-01-14,2023-01-16,2023-01-16,2023-01-17,2023-01-17,1785.7,398.0,7581.78,Delivered,True
SHP-000139,WH-01,DST-04,CAR-05,2023-01-14,2023-01-15,2023-01-15,2023-01-16,2023-01-16,1598.9,192.1,4451.18,Delivered,True
SHP-000140,WH-05,DST-10,CAR-03,2023-01-14,2023-01-14,2023-01-14,2023-01-16,2023-01-16,901.1,539.5,466.44,Delivered,True
SHP-000141,WH-08,DST-12,CAR-04,2023-01-14,2023-01-14,2023-01-14,2023-01-15,2023-01-15,5311.2,1795.5,67830.7,Delivered,True
SHP-000142,WH-07,DST-06,CAR-04,2023-01-14,2023-01-14,2023-01-14,2023-01-15,2023-01-15,1448.5,856.4,9793.35,Delivered,True
SHP-000143,WH-11,DST-17,CAR-03,2023-01-15,2023-01-15,2023-01-15,2023-01-17,2023-01-17,868.1,83.5,172.27,Delivered,True
SHP-000144,WH-03,DST-04,CAR-03,2023-01-15,2023-01-15,2023-01-15,2023-01-16,2023-01-16,504.3,384.5,206.32,Delivered,True
SHP-000145,WH-04,DST-11,CAR-04,2023-01-16,2023-01-18,2023-01-18,2023-01-19,2023-01-19,1181.6,765.7,7302.68,Delivered,True
SHP-000146,WH-06,DST-14,CAR-06,2023-01-16,2023-01-17,2023-01-17,2023-01-26,2023-01-30,6812.9,227.3,524.0,Delivered,False
SHP-000147,WH-03,DST-03,CAR-03,2023-01-16,2023-01-16,2023-01-16,2023-01-20,2023-01-20,3494.4,188.4,950.05,Delivered,True
SHP-000148,WH-02,DST-03,CAR-01,2023-01-16,2023-01-16,2023-01-16,2023-01-18,2023-01-18,1992.0,1166.3,4626.81,Delivered,True
SHP-000149,WH-10,DST-15,CAR-04,2023-01-16,2023-01-16,2023-01-16,2023-01-17,2023-01-17,5496.2,63.7,9275.82,Delivered,True
SHP-000150,WH-09,DST-15,CAR-05,2023-01-16,2023-01-16,2023-01-16,2023-01-17,2023-01-17,4443.8,134.7,10560.19,Delivered,True
SHP-000151,WH-05,DST-11,CAR-05,2023-01-16,2023-01-16,2023-01-16,2023-01-17,2023-01-17,810.7,183.3,2206.32,Delivered,True
SHP-000152,WH-02,DST-13,CAR-04,2023-01-16,2023-01-17,2023-01-17,2023-01-19,2023-01-19,10974.3,1715.5,134535.58,Delivered,True
SHP-000153,WH-02,DST-17,CAR-06,2023-01-16,2023-01-17,2023-01-17,2023-02-03,2023-02-05,12542.1,191.9,884.74,Delivered,False
SHP-000154,WH-09,DST-16,CAR-07,2023-01-16,2023-01-18,2023-01-18,2023-01-29,2023-01-29,8055.2,345.3,878.5,Delivered,True
SHP-000155,WH-04,DST-12,CAR-06,2023-01-16,2023-01-17,2023-01-17,2023-01-29,2023-01-29,9345.1,318.8,872.68,Delivered,True
SHP-000156,WH-10,DST-14,CAR-07,2023-01-16,2023-01-17,2023-01-18,2023-01-31,2023-01-31,10156.8,792.8,2016.74,Delivered,True
SHP-000157,WH-01,DST-05,CAR-02,2023-01-17,2023-01-19,2023-01-19,2023-01-21,2023-01-21,2159.1,1114.8,4428.53,Delivered,True
SHP-000158,WH-02,DST-03,CAR-03,2023-01-17,2023-01-17,2023-01-17,2023-01-20,2023-01-20,1992.0,1952.2,3001.01,Delivered,True
SHP-000159,WH-01,DST-03,CAR-03,2023-01-17,2023-01-19,2023-01-20,2023-01-21,2023-01-21,3110.3,532.4,1594.61,Delivered,True
SHP-000160,WH-06,DST-05,CAR-04,2023-01-17,2023-01-19,2023-01-19,2023-01-21,2023-01-21,9500.1,491.9,42068.07,Delivered,True
SHP-000161,WH-01,DST-16,CAR-05,2023-01-17,2023-01-17,2023-01-17,2023-01-19,2023-01-19,15591.8,463.5,73450.65,Delivered,True
SHP-000162,WH-08,DST-16,CAR-05,2023-01-17,2023-01-18,2023-01-18,2023-01-19,,6063.3,143.1,14770.26,In Transit,
SHP-000163,WH-04,DST-09,CAR-04,2023-01-17,2023-01-18,2023-01-18,2023-01-19,2023-01-19,1424.2,723.6,8418.22,Delivered,True
SHP-000164,WH-01,DST-04,CAR-03,2023-01-17,2023-01-17,2023-01-17,2023-01-18,2023-01-18,1598.9,757.3,1071.44,Delivered,True
SHP-000165,WH-03,DST-03,CAR-03,2023-01-17,2023-01-17,2023-01-17,2023-01-21,2023-01-21,3494.4,115.4,771.49,Delivered,True
SHP-000166,WH-06,DST-07,CAR-03,2023-01-18,2023-01-18,2023-01-18,2023-01-19,2023-01-19,391.5,275.7,130.37,Delivered,True
SHP-000167,WH-05,DST-11,CAR-02,2023-01-18,2023-01-20,2023-01-20,2023-01-21,2023-01-21,810.7,316.9,653.74,Delivered,True
SHP-000168,WH-06,DST-09,CAR-04,2023-01-18,2023-01-18,2023-01-19,2023-01-19,2023-01-19,912.5,425.2,3651.25,Delivered,True
SHP-000169,WH-10,DST-16,CAR-04,2023-01-18,2023-01-18,2023-01-19,2023-01-19,2023-01-19,713.4,785.6,4500.19,Delivered,True
SHP-000170,WH-01,DST-05,CAR-02,2023-01-18,2023-01-18,2023-01-19,2023-01-20,2023-01-20,2159.1,2290.5,8388.54,Delivered,True
SHP-000171,WH-02,DST-14,CAR-07,2023-01-18,2023-01-18,2023-01-18,2023-02-08,2023-02-08,14145.7,520.2,2037.55,Delivered,True
SHP-000172,WH-09,DST-06,CAR-04,2023-01-18,2023-01-19,2023-01-19,2023-01-20,2023-01-20,9196.7,660.5,50648.28,Delivered,True
SHP-000173,WH-04,DST-07,CAR-01,2023-01-18,2023-01-18,2023-01-19,2023-01-19,2023-01-19,372.9,1049.9,792.31,Delivered,True
SHP-000174,WH-09,DST-13,CAR-03,2023-01-18,2023-01-20,2023-01-20,2023-01-21,2023-01-25,866.5,65.4,160.97,Delivered,False
SHP-000175,WH-02,DST-02,CAR-05,2023-01-18,2023-01-18,2023-01-19,2023-01-19,2023-01-19,1295.0,389.1,5416.29,Delivered,True
SHP-000176,WH-10,DST-12,CAR-04,2023-01-18,2023-01-19,2023-01-19,2023-01-20,2023-01-20,7825.8,673.2,43734.43,Delivered,True
